Season,Ranking,Team,Points_per_game,Season_average_points_per_team,Classified_to,Goal_difference_per_game,Competition
201718,8,Getafe,1.45,1.3868,3,0.24,La Liga
201718,9,Eibar,1.34,1.3868,3,-0.16,La Liga
201718,10,Girona,1.34,1.3868,3,-0.24,La Liga
201718,11,Espanyol,1.29,1.3868,3,-0.16,La Liga
201718,12,Real Sociedad,1.29,1.3868,3,0.18,La Liga
201718,13,Celta Vigo,1.29,1.3868,3,-0.03,La Liga
201718,14,Alaves,1.24,1.3868,3,-0.26,La Liga
201718,15,Levante,1.21,1.3868,3,-0.37,La Liga
201718,16,Athletic Club,1.13,1.3868,3,-0.21,La Liga
201718,17,Leganes,1.13,1.3868,3,-0.45,La Liga
201718,18,La Coruna,0.76,1.3868,4,-1,Relegation
201718,19,Las Palmas,0.58,1.3868,4,-1.32,Relegation
201718,20,Malaga,0.53,1.3868,4,-0.97,Relegation
201617,1,Real Madrid,2.45,1.3829,1,1.71,Champions League
201617,2,Barcelona,2.37,1.3829,1,2.08,Champions League
201617,3,Atletico de Madrid,2.05,1.3829,1,1.13,Champions League
201617,4,Sevilla,1.89,1.3829,1,0.53,Champions League
201617,5,Villarreal,1.76,1.3829,2,0.61,Other Europe
201617,6,Real Sociedad,1.68,1.3829,2,0.16,Other Europe
201617,7,Athletic Club,1.66,1.3829,3,0.26,La Liga
201617,8,Espanyol,1.47,1.3829,3,-0.03,La Liga
201617,9,Alaves,1.45,1.3829,3,-0.05,La Liga
201617,10,Eibar,1.42,1.3829,3,0.13,La Liga
201617,11,Malaga,1.21,1.3829,3,-0.16,La Liga
201617,12,Valencia,1.21,1.3829,3,-0.24,La Liga
201617,13,Celta Vigo,1.18,1.3829,3,-0.42,La Liga
201617,14,Las Palmas,1.03,1.3829,3,-0.55,La Liga
201617,15,Betis,1.03,1.3829,3,-0.61,La Liga
201617,16,La Coruna,0.95,1.3829,3,-0.47,La Liga
201617,17,Leganes,0.92,1.3829,3,-0.5,La Liga
201617,18,Sporting Gijon,0.82,1.3829,4,-0.79,Relegation
201617,19,Osasuna,0.58,1.3829,4,-1.42,Relegation
201617,20,Granada,0.53,1.3829,4,-1.37,Relegation
201516,1,Barcelona,2.39,1.3789,1,2.18,Champions League
201516,2,Real Madrid,2.37,1.3789,1,2,Champions League
201516,3,Atletico de Madrid,2.32,1.3789,1,1.18,Champions League
201516,4,Villarreal,1.68,1.3789,1,0.24,Champions League
201516,5,Athletic Club,1.63,1.3789,2,0.34,Other Europe
201516,6,Celta Vigo,1.58,1.3789,2,-0.21,Other Europe
201516,7,Sevilla,1.37,1.3789,3,0.03,La Liga
